model	fcst_var	fcst_lead	fcst_thresh	interp_pnts	fss
NAMnest_mem000	REFC	000000	>=20	25	0.4883390322580645
NAMnest_mem000	REFC	000000	>=20	361	0.6365412903225806
NAMnest_mem000	REFC	000000	>=20	729	0.6816812903225806
NAMnest_mem000	REFC	000000	>=20	81	0.5453338709677419
NAMnest_mem000	REFC	000000	>=20	9	0.454116
NAMnest_mem000	REFC	000000	>=30	25	0.3122077419354839
NAMnest_mem000	REFC	000000	>=30	361	0.49348
NAMnest_mem000	REFC	000000	>=30	729	0.558528064516129
NAMnest_mem000	REFC	000000	>=30	81	0.37560451612903223
NAMnest_mem000	REFC	000000	>=30	9	0.2771896774193548
NAMnest_mem000	REFC	000000	>=40	25	0.123544
NAMnest_mem000	REFC	000000	>=40	361	0.3107867741935484
NAMnest_mem000	REFC	000000	>=40	729	0.3998041935483871
NAMnest_mem000	REFC	000000	>=40	81	0.176385
NAMnest_mem000	REFC	000000	>=40	9	0.0999620322580645
NAMnest_mem000	REFC	000000	>=50	25	0.03979423161290323
NAMnest_mem000	REFC	000000	>=50	361	0.17840954516129034
NAMnest_mem000	REFC	000000	>=50	729	0.24301787096774194
NAMnest_mem000	REFC	000000	>=50	81	0.07423318580645161
NAMnest_mem000	REFC	000000	>=50	9	0.02812817870967742
NAMnest_mem000	REFC	010000	>=20	25	0.45874548387096775
NAMnest_mem000	REFC	010000	>=20	361	0.60968
NAMnest_mem000	REFC	010000	>=20	729	0.6599890322580645
NAMnest_mem000	REFC	010000	>=20	81	0.5147496774193548
NAMnest_mem000	REFC	010000	>=20	9	0.42517516129032257
NAMnest_mem000	REFC	010000	>=30	25	0.29954032258064517
NAMnest_mem000	REFC	010000	>=30	361	0.4728958064516129
NAMnest_mem000	REFC	010000	>=30	729	0.540455806451613
NAMnest_mem000	REFC	010000	>=30	81	0.3581883870967742
NAMnest_mem000	REFC	010000	>=30	9	0.26737516129032257
NAMnest_mem000	REFC	010000	>=40	25	0.10244009677419355
NAMnest_mem000	REFC	010000	>=40	361	0.24796293548387097
NAMnest_mem000	REFC	010000	>=40	729	0.3306361290322581
NAMnest_mem000	REFC	010000	>=40	81	0.14197251612903225
NAMnest_mem000	REFC	010000	>=40	9	0.08489916129032257
NAMnest_mem000	REFC	010000	>=50	25	0.043851641290322575
NAMnest_mem000	REFC	010000	>=50	361	0.14776285483870966
NAMnest_mem000	REFC	010000	>=50	729	0.21202806451612904
NAMnest_mem000	REFC	010000	>=50	81	0.07255103387096774
NAMnest_mem000	REFC	010000	>=50	9	0.03254154
NAMnest_mem000	REFC	020000	>=20	25	0.4389361290322581
NAMnest_mem000	REFC	020000	>=20	361	0.5819264516129032
NAMnest_mem000	REFC	020000	>=20	729	0.6318548387096774
NAMnest_mem000	REFC	020000	>=20	81	0.49117225806451614
NAMnest_mem000	REFC	020000	>=20	9	0.4075751612903226
NAMnest_mem000	REFC	020000	>=30	25	0.2677377419354839
NAMnest_mem000	REFC	020000	>=30	361	0.4241322580645161
NAMnest_mem000	REFC	020000	>=30	729	0.4871438709677419
NAMnest_mem000	REFC	020000	>=30	81	0.3204009677419355
NAMnest_mem000	REFC	020000	>=30	9	0.23887806451612903
NAMnest_mem000	REFC	020000	>=40	25	0.09544264516129032
NAMnest_mem000	REFC	020000	>=40	361	0.22464464516129032
NAMnest_mem000	REFC	020000	>=40	729	0.2949787741935484
NAMnest_mem000	REFC	020000	>=40	81	0.13102229032258064
NAMnest_mem000	REFC	020000	>=40	9	0.07917283870967742
NAMnest_mem000	REFC	020000	>=50	25	0.026532262870967743
NAMnest_mem000	REFC	020000	>=50	361	0.10088240000000001
NAMnest_mem000	REFC	020000	>=50	729	0.15214154129032256
NAMnest_mem000	REFC	020000	>=50	81	0.04694823548387097
NAMnest_mem000	REFC	020000	>=50	9	0.018757828387096772
NAMnest_mem000	REFC	030000	>=20	25	0.42010548387096774
NAMnest_mem000	REFC	030000	>=20	361	0.5542551612903226
NAMnest_mem000	REFC	030000	>=20	729	0.6023577419354839
NAMnest_mem000	REFC	030000	>=20	81	0.4689067741935484
NAMnest_mem000	REFC	030000	>=20	9	0.3905990322580645
NAMnest_mem000	REFC	030000	>=30	25	0.24871806451612902
NAMnest_mem000	REFC	030000	>=30	361	0.39502645161290323
NAMnest_mem000	REFC	030000	>=30	729	0.4559509677419355
NAMnest_mem000	REFC	030000	>=30	81	0.2979432258064516
NAMnest_mem000	REFC	030000	>=30	9	0.2217525806451613
NAMnest_mem000	REFC	030000	>=40	25	0.08521876774193549
NAMnest_mem000	REFC	030000	>=40	361	0.2022016129032258
NAMnest_mem000	REFC	030000	>=40	729	0.2686166774193548
NAMnest_mem000	REFC	030000	>=40	81	0.11744317096774194
NAMnest_mem000	REFC	030000	>=40	9	0.07039983354838711
NAMnest_mem000	REFC	030000	>=50	25	0.015683581935483873
NAMnest_mem000	REFC	030000	>=50	361	0.07589019999999999
NAMnest_mem000	REFC	030000	>=50	729	0.11909032258064517
NAMnest_mem000	REFC	030000	>=50	81	0.028400447741935484
NAMnest_mem000	REFC	030000	>=50	9	0.011307015483870968
NAMnest_mem000	REFC	040000	>=20	25	0.4063174193548387
NAMnest_mem000	REFC	040000	>=20	361	0.5338345161290323
NAMnest_mem000	REFC	040000	>=20	729	0.5799858064516129
NAMnest_mem000	REFC	040000	>=20	81	0.4528835483870968
NAMnest_mem000	REFC	040000	>=20	9	0.37793
NAMnest_mem000	REFC	040000	>=30	25	0.23821616129032258
NAMnest_mem000	REFC	040000	>=30	361	0.3697777419354839
NAMnest_mem000	REFC	040000	>=30	729	0.4242416129032258
NAMnest_mem000	REFC	040000	>=30	81	0.2828967419354839
NAMnest_mem000	REFC	040000	>=30	9	0.21322270967741935
NAMnest_mem000	REFC	040000	>=40	25	0.10022756451612903
NAMnest_mem000	REFC	040000	>=40	361	0.2127411935483871
NAMnest_mem000	REFC	040000	>=40	729	0.26914648387096773
NAMnest_mem000	REFC	040000	>=40	81	0.13504792903225807
NAMnest_mem000	REFC	040000	>=40	9	0.08355064612903226
NAMnest_mem000	REFC	040000	>=50	25	0.02155987806451613
NAMnest_mem000	REFC	040000	>=50	361	0.08378337161290322
NAMnest_mem000	REFC	040000	>=50	729	0.12432993548387097
NAMnest_mem000	REFC	040000	>=50	81	0.03653923870967742
NAMnest_mem000	REFC	040000	>=50	9	0.016104270322580643
NAMnest_mem000	REFC	050000	>=20	25	0.3932993548387097
NAMnest_mem000	REFC	050000	>=20	361	0.5160309677419355
NAMnest_mem000	REFC	050000	>=20	729	0.5611712903225806
NAMnest_mem000	REFC	050000	>=20	81	0.4380606451612903
NAMnest_mem000	REFC	050000	>=20	9	0.365991935483871
NAMnest_mem000	REFC	050000	>=30	25	0.22729551612903226
NAMnest_mem000	REFC	050000	>=30	361	0.350167
NAMnest_mem000	REFC	050000	>=30	729	0.4024283870967742
NAMnest_mem000	REFC	050000	>=30	81	0.2687044193548387
NAMnest_mem000	REFC	050000	>=30	9	0.20410567741935484
NAMnest_mem000	REFC	050000	>=40	25	0.09616828709677419
NAMnest_mem000	REFC	050000	>=40	361	0.21307370967741937
NAMnest_mem000	REFC	050000	>=40	729	0.27272651612903226
NAMnest_mem000	REFC	050000	>=40	81	0.13034364516129032
NAMnest_mem000	REFC	050000	>=40	9	0.07993057741935485
NAMnest_mem000	REFC	050000	>=50	25	0.02227037548387097
NAMnest_mem000	REFC	050000	>=50	361	0.07808361267741935
NAMnest_mem000	REFC	050000	>=50	729	0.11483731919354839
NAMnest_mem000	REFC	050000	>=50	81	0.03549284022580645
NAMnest_mem000	REFC	050000	>=50	9	0.016946390322580645
NAMnest_mem000	REFC	060000	>=20	25	0.39682032258064515
NAMnest_mem000	REFC	060000	>=20	361	0.5147951612903225
NAMnest_mem000	REFC	060000	>=20	729	0.5579267741935483
NAMnest_mem000	REFC	060000	>=20	81	0.44035129032258064
NAMnest_mem000	REFC	060000	>=20	9	0.3697632258064516
NAMnest_mem000	REFC	060000	>=30	25	0.23558748387096776
NAMnest_mem000	REFC	060000	>=30	361	0.3562488387096774
NAMnest_mem000	REFC	060000	>=30	729	0.40788690322580645
NAMnest_mem000	REFC	060000	>=30	81	0.27699309677419354
NAMnest_mem000	REFC	060000	>=30	9	0.21177629032258063
NAMnest_mem000	REFC	060000	>=40	25	0.08666563677419355
NAMnest_mem000	REFC	060000	>=40	361	0.19259900000000002
NAMnest_mem000	REFC	060000	>=40	729	0.2517517741935484
NAMnest_mem000	REFC	060000	>=40	81	0.11710546774193548
NAMnest_mem000	REFC	060000	>=40	9	0.07197278677419355
NAMnest_mem000	REFC	060000	>=50	25	0.01922155258064516
NAMnest_mem000	REFC	060000	>=50	361	0.07267222322580645
NAMnest_mem000	REFC	060000	>=50	729	0.10746377096774193
NAMnest_mem000	REFC	060000	>=50	81	0.034200417299999994
NAMnest_mem000	REFC	060000	>=50	9	0.013431703225806451
NAMnest_mem000	REFC	070000	>=20	25	0.3964283870967742
NAMnest_mem000	REFC	070000	>=20	361	0.5131196774193548
NAMnest_mem000	REFC	070000	>=20	729	0.555451935483871
NAMnest_mem000	REFC	070000	>=20	81	0.4395851612903226
NAMnest_mem000	REFC	070000	>=20	9	0.36947161290322583
NAMnest_mem000	REFC	070000	>=30	25	0.23010474193548386
NAMnest_mem000	REFC	070000	>=30	361	0.3494678709677419
NAMnest_mem000	REFC	070000	>=30	729	0.3994154193548387
NAMnest_mem000	REFC	070000	>=30	81	0.2708711290322581
NAMnest_mem000	REFC	070000	>=30	9	0.20694958064516128
NAMnest_mem000	REFC	070000	>=40	25	0.07978243870967741
NAMnest_mem000	REFC	070000	>=40	361	0.1670639258064516
NAMnest_mem000	REFC	070000	>=40	729	0.21579633548387098
NAMnest_mem000	REFC	070000	>=40	81	0.1052129064516129
