date	model	fcst_var	fcst_lead	vx_mask	on_1	on_10	on_11	on_2	on_3	on_4	on_5	on_6	on_7	on_8	on_9	oy_1	oy_10	oy_11	oy_2	oy_3	oy_4	oy_5	oy_6	oy_7	oy_8	oy_9	thresh_1	thresh_10	thresh_11	thresh_2	thresh_3	thresh_4	thresh_5	thresh_6	thresh_7	thresh_8	thresh_9	thresh_n
2022-05-01 03:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	030000	CONUS	745115	2484	542	69797	33390	19018	12336	8659	6762	4574	3044	3498	2388	481	3355	2929	3121	3750	3897	3962	3369	3006	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
2022-05-01 05:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	050000	CONUS	749108	697	115	69523	32539	19006	11504	8489	6147	4493	2695	2805	1125	268	3312	4113	4442	4696	4433	3880	3486	2601	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
2022-05-01 10:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	100000	CONUS	760394	471	61	65272	31490	18879	12896	9197	5991	3359	1692	2908	603	91	3144	4628	4838	4105	3782	2993	1742	941	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
2022-05-01 18:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	180000	CONUS	776353	114	11	75082	34866	18080	9184	4056	1775	747	363	3308	109	19	3600	3450	2887	2043	1514	1018	615	283	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
2022-05-02 01:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	010000	CONUS	835916	1258	992	38238	15213	7780	4007	2543	1891	1758	1667	6566	1821	2035	4710	3120	2787	1897	1498	1314	1211	1255	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
2022-05-02 03:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	030000	CONUS	791925	392	104	62225	24977	13763	7765	4213	2601	1764	1121	6068	1534	450	4945	3670	3069	2807	1682	1338	1524	1540	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
2022-05-02 05:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	050000	CONUS	787644	602	233	62170	25626	12627	8435	4985	3073	2493	1427	4321	588	309	5548	5067	4372	3658	2408	1713	1141	1037	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
2022-05-02 10:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	100000	CONUS	785932	863	294	42393	24378	15901	10755	6443	4844	2963	1833	3988	3002	717	3703	4090	4845	4742	5098	4498	4263	3932	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
2022-05-02 12:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	360000	CONUS	778428	2022	3308	53030	22774	12899	7769	5415	4941	4233	3100	6602	2561	2066	4665	3882	3431	3273	3849	4429	3623	3177	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
2022-05-02 18:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	180000	CONUS	759397	5086	7694	54977	24686	14707	10246	7900	6431	6136	4585	2773	4247	4151	2434	3876	3989	3227	2815	2987	3544	3589	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
