date	model	fcst_var	fcst_lead	vx_mask	fcst_lev	spread_plus_oerr	rmse
2022-05-01 01:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	010000	CONUS	Z2	1.21905	1.38442
2022-05-01 02:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	020000	CONUS	Z2	1.22703	1.88131
2022-05-01 03:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	030000	CONUS	Z2	1.23495	1.95132
2022-05-01 04:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	040000	CONUS	Z2	1.24427	2.25382
2022-05-01 05:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	050000	CONUS	Z2	1.25286	1.95571
2022-05-01 06:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	060000	CONUS	Z2	1.26661	2.09732
2022-05-01 07:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	070000	CONUS	Z2	1.27997	2.17394
2022-05-01 08:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	080000	CONUS	Z2	1.28255	1.96189
2022-05-01 09:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	090000	CONUS	Z2	1.29123	2.4232
2022-05-01 10:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	100000	CONUS	Z2	1.29964	2.31634
2022-05-01 11:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	110000	CONUS	Z2	1.29714	1.95829
2022-05-01 12:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	120000	CONUS	Z2	1.27957	1.88338
2022-05-01 13:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	130000	CONUS	Z2	1.27923	1.82441
2022-05-01 14:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	140000	CONUS	Z2	1.31515	1.79915
2022-05-01 15:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	150000	CONUS	Z2	1.40626	1.72663
2022-05-01 16:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	160000	CONUS	Z2	1.49165	1.79735
2022-05-01 17:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	170000	CONUS	Z2	1.57025	1.87251
2022-05-01 18:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	180000	CONUS	Z2	1.64617	2.05151
2022-05-01 19:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	190000	CONUS	Z2	1.70818	2.12216
2022-05-01 20:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	200000	CONUS	Z2	1.79125	2.14927
2022-05-01 21:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	210000	CONUS	Z2	1.86589	2.26075
2022-05-01 22:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	220000	CONUS	Z2	1.89318	2.2903
2022-05-01 23:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	230000	CONUS	Z2	1.84366	2.2578
2022-05-02 00:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	000000	CONUS	Z2	1.25052	1.18583
2022-05-02 00:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	240000	CONUS	Z2	1.69135	2.16513
2022-05-02 01:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	010000	CONUS	Z2	1.22605	1.31358
2022-05-02 01:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	250000	CONUS	Z2	1.55744	1.94238
2022-05-02 02:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	260000	CONUS	Z2	1.46699	1.80683
2022-05-02 02:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	020000	CONUS	Z2	1.23287	1.45288
2022-05-02 03:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	270000	CONUS	Z2	1.41848	1.81715
2022-05-02 03:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	030000	CONUS	Z2	1.22836	1.63167
2022-05-02 04:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	280000	CONUS	Z2	1.40094	1.76217
2022-05-02 04:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	040000	CONUS	Z2	1.23882	1.68313
2022-05-02 05:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	290000	CONUS	Z2	1.39514	1.81266
2022-05-02 05:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	050000	CONUS	Z2	1.24784	1.7994
2022-05-02 06:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	060000	CONUS	Z2	1.25709	1.80005
2022-05-02 06:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	300000	CONUS	Z2	1.3921	1.81783
2022-05-02 07:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	310000	CONUS	Z2	1.39945	1.76584
2022-05-02 07:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	070000	CONUS	Z2	1.27247	1.78074
2022-05-02 08:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	320000	CONUS	Z2	1.40726	1.76679
2022-05-02 08:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	080000	CONUS	Z2	1.29041	1.7617
2022-05-02 09:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	090000	CONUS	Z2	1.29847	1.77602
2022-05-02 09:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	330000	CONUS	Z2	1.41521	1.78565
2022-05-02 10:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	100000	CONUS	Z2	1.31321	1.77379
2022-05-02 10:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	340000	CONUS	Z2	1.42192	1.78262
2022-05-02 11:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	350000	CONUS	Z2	1.42481	1.7383
2022-05-02 11:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	110000	CONUS	Z2	1.31062	1.74629
2022-05-02 12:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	120000	CONUS	Z2	1.28377	1.69201
2022-05-02 12:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	360000	CONUS	Z2	1.39486	1.71345
2022-05-02 13:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	130000	CONUS	Z2	1.29189	1.63986
2022-05-02 14:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	140000	CONUS	Z2	1.36438	1.57832
2022-05-02 15:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	150000	CONUS	Z2	1.46544	1.60184
2022-05-02 16:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	160000	CONUS	Z2	1.56107	1.71841
2022-05-02 17:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	170000	CONUS	Z2	1.63803	1.89077
2022-05-02 18:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	180000	CONUS	Z2	1.70192	2.05929
2022-05-02 19:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	190000	CONUS	Z2	1.77037	2.34645
2022-05-02 20:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	200000	CONUS	Z2	1.83066	2.4045
2022-05-02 21:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	210000	CONUS	Z2	1.86959	2.41897
2022-05-02 22:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	220000	CONUS	Z2	1.88863	2.44424
2022-05-02 23:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	230000	CONUS	Z2	1.84514	2.46988
2022-05-03 00:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	240000	CONUS	Z2	1.71052	2.40616
2022-05-03 00:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	000000	CONUS	Z2	1.27484	1.20435
2022-05-03 01:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	250000	CONUS	Z2	1.59937	2.30737
2022-05-03 01:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	010000	CONUS	Z2	1.25929	1.5376
2022-05-03 02:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	260000	CONUS	Z2	1.51902	2.48083
2022-05-03 02:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	020000	CONUS	Z2	1.25359	1.94316
2022-05-03 03:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	270000	CONUS	Z2	1.48945	2.39066
2022-05-03 03:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	030000	CONUS	Z2	1.26103	1.89513
2022-05-03 04:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	040000	CONUS	Z2	1.25943	2.02125
2022-05-03 04:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	280000	CONUS	Z2	1.47342	2.42256
2022-05-03 05:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	290000	CONUS	Z2	1.47124	2.42412
2022-05-03 05:00:00	RRFS_GDAS_GF.SPP.SPPT	TMP	050000	CONUS	Z2	1.27154	2.04108
